methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
convexification,10,15,3,227.71309089364053,228.1172937027077,228.1172937027077,0.0,1,0.006999969482421875
convexification,20,30,5,444.9623391153779,483.12964265242346,483.12964265242346,0.0,185,0.12099981307983398
convexification,30,40,6,648.3097037558891,696.0405545886216,696.0405545886216,0.0,206,0.2349998950958252
convexification,40,50,8,826.7084309118854,892.5847566657657,892.5847566657657,0.0,1520,0.5460000038146973
