methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
Convexification objectif,10,15,3,179.76989309116965,228.1172937027077,228.1172937027077,0.0,1,0.00800013542175293
Convexification objectif,20,30,5,-12.971765409485727,483.12964265242346,483.12964265242346,0.0,127,0.11899995803833008
Convexification objectif,30,40,6,-128.0239099107145,696.0405545886217,696.0405545886217,0.0,205,0.2949998378753662
Convexification objectif,40,50,8,-450.5545387651174,892.5847566657659,892.5847566657659,0.0,1091,0.6740000247955322
