methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
Gurobi (prelinearization = 0),20,20,3,548.6157,560.8099944693075,560.8099944693075,0.0,1,0.023999929428100586
Gurobi (prelinearization = 0),20,30,5,397.2453,483.12964265242346,483.12964265242346,0.0,1532,0.2369999885559082
Gurobi (prelinearization = 0),30,40,6,586.7626,696.0405545886218,696.0405545886218,0.0,187,0.1549999713897705
Gurobi (prelinearization = 0),40,50,8,719.9823,892.5847566657656,892.5847566657656,0.0,1492,0.6809999942779541
