methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
Gurobi (prelinearization = 2),20,20,3,548.6157,560.8099944693075,560.8099944693075,0.0,1,0.016000032424926758
Gurobi (prelinearization = 2),20,30,5,397.2453,483.12964265242346,483.12964265242346,0.0,437,0.4790000915527344
Gurobi (prelinearization = 2),30,40,6,586.7626,696.0405545886218,696.0405545886218,0.0,550,0.42999982833862305
Gurobi (prelinearization = 2),40,50,8,719.9823,892.5847566657656,892.5847566657656,0.0,3695,1.4140000343322754
