n_clients,n_sites,p,optimal,bound,gap,time_s
10,15,3,208.37596038213067,208.37596038213067,0.0,0.0019998550415039062
20,30,5,377.51632719130714,377.51632719130714,0.0,0.00599980354309082
30,40,6,557.3082105583497,557.3082105583497,0.0,0.01100015640258789
40,50,8,642.6650892482147,642.6650892482147,0.0,0.01699995994567871
