methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
Manuelle,10,15,3,228.11729370270768,228.11729370270768,228.11729370270768,0.0,1,0.003999948501586914
Manuelle,20,30,5,397.2453321735227,483.1296426524235,483.1296426524235,0.0,1,0.24399995803833008
Manuelle,30,40,6,586.7626045144037,696.0405545886217,696.0405545886217,0.0,1,0.3450000286102295
Manuelle,40,50,8,719.9822717455482,892.5847566657656,892.5847566657656,0.0,1,1.315999984741211
