methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
projection SDP,10,15,3,228.11729370466202,228.11729370270766,228.11729370270766,0.0,1,0.004999876022338867
projection SDP,20,30,5,460.580556672595,483.12964265242346,483.12964265242346,0.0,1,0.13200020790100098
projection SDP,30,40,6,683.8081438694107,696.0405545886218,696.0405545886218,0.0,1,0.12100005149841309
projection SDP,40,50,8,864.4395059925139,892.5847566657656,892.5847566657656,0.0,1,0.630000114440918
